"CODI_VIA","CODI_CARRER_INE","TIPUS_VIA","NOM_OFICIAL","NOM_CURT","NRE_MIN","NRE_MAX"
"146006","01658","C","Carrer d'en Giralt el Pellisser","Giralt Pellisser","",""
"146108","01659","Ptge","Passatge del Gira-sol","Ptge Gira-sol","",""
"146200","01660","C","Carrer Gíriti","Gíriti","",""
"146403","01661","C","Carrer de Gironella","Gironella","",""
"146505","01662","Pl","Plaça de Manuel Corachan","Pl Manuel Corachan","",""
"146607","01663","C","Carrer de la Gitanilla","Gitanilla","",""
"146709","01664","C","Carrer de la Gleva","Gleva","",""
"146800","01665","Bda","Baixada de la Glòria","Bda Glòria","",""
"146902","01666","Pl","Plaça de les Glòries Catalanes","Pl Glòries Catalan","",""
"147009","01667","C","Carrer de Goldoni","Goldoni","",""
"147100","01668","C","Carrer del Gòlgota","Gòlgota","",""
"147202","01669","C","Carrer de l'Oreneta","Oreneta","",""
"147304","01670","C","Carrer de Gombau","Gombau","",""
"147406","01672","Bda","Baixada de Gomis","Bda Gomis","",""
"147508","01673","C","Carrer de Gomis","Gomis","",""
"147600","01674","Ptge","Passatge de Gomis","Ptge Gomis","",""
"147701","01675","C","Carrer de Góngora","Góngora","",""
"147803","01676","C","Carrer de Gordi","Gordi","",""
"148001","01677","C","Carrer de Gósol","Gósol","",""
"148103","01678","C","Carrer de Goya","Goya","",""
"148158","01679","Pl","Plaça de Goya","Pl Goya","",""
"148205","01680","C","Carrer de Gràcia","Gràcia","",""
"148307","01681","Pg","Passeig de Gràcia","Pg Gràcia","",""
"148409","01682","Ctra","Carretera de Sant Cugat","Ctra Sant Cugat","",""
"148500","01684","C","Carrer del Gran Capità","Gran Capità","",""
"148602","01685","C","Carrer de la Gran Vista","Gran Vista","",""
"148704","01686","C","Carrer de la Ciutat de Granada","Ciutat de Granada","",""
"148806","01687","C","Carrer de la Granada del Penedès","Granada Penedès","",""
"148908","01688","C","Carrer de la Granadella","Granadella","",""
"149004","01690","C","Carrer de Granados","Granados","",""
"149106","01691","C","Carrer de la Granja","Granja","",""
"149300","01693","C","Carrer de Granollers","Granollers","",""
"149503","01695","C","Carrer de Grases","Grases","",""
"149605","01696","C","Carrer d'en Grassot","Grassot","",""
"149707","01697","C","Carrer de Gratallops","Gratallops","",""
"149809","01698","C","Carrer de Grau","Grau","",""
"149900","01699","Ptge","Passatge de Grau","Ptge Grau","",""
"150003","01700","C","Carrer de Grau i Torras","Grau i Torras","",""
"150105","01701","C","Carrer de Graus","Graus","",""
"150207","01702","C","Carrer de Gravina","Gravina","",""
"150309","01703","C","Carrer de Grècia","Grècia","",""
"150400","01704","C","Carrer del Greco","Greco","",""
"150502","01705","C","Carrer de Gresolet","Gresolet","",""
"150604","01707","C","Carrer de Grífols","Grífols","",""
"150706","01708","C","Carrer d'en Groc","Groc","",""
"150808","01709","C","Carrer de Grunyí","Grunyí","",""
"150852","01710","Gru","Grup Vivendes la Pau","Gru Vivendes Pau","",""
"150900","01712","C","Carrer de Guadalajara","Guadalajara","",""
"151006","01713","C","Carrer del Guadalete","Guadalete","",""
"151108","01714","C","Carrer del Guadalquivir","Guadalquivir","",""
"151200","01715","C","Carrer del Guadiana","Guadiana","",""
"151301","01716","C","Carrer de Gualbes","Gualbes","",""
"151403","01717","C","Carrer del Guarda Anton","Guarda Anton","",""
"151458","01718","C","Carrer de la Guarderia","Guarderia","",""
"151505","01719","C","Carrer de Guàrdia","Guàrdia","",""
"151607","01720","Ptge","Passatge de Guardiola","Ptge Guardiola","",""
"151709","01721","C","Carrer de Guardiola i Feliu","Guardiola i Feliu","",""
"151800","01722","C","Carrer de Guatemala","Guatemala","",""
"151902","01723","C","Carrer de la Guatlla","Guatlla","",""
"151957","01724","Pg","Passeig de Guayaquil","Pg Guayaquil","",""
"152009","01725","Ptge","Passatge de Güell","Ptge Güell","",""
"152100","01726","C","Carrer de Guillem","Guillem","",""
"152202","01727","C","Carrer de les Guilleries","Guilleries","",""
"152304","01728","C","Carrer de Guillem de Llúria","Guillem de Llúria","",""
"152406","01729","C","Carrer de Guillem Sagrera","Guillem Sagrera","",""
"152508","01730","C","Carrer de Guillem Tell","Guillem Tell","",""
"152600","01731","C","Carrer del Guinardó","Guinardó","",""
"152803","01732","Pl","Plaça del Guinardó","Pl Guinardó","",""
"152905","01733","Rda","Ronda del Guinardó","Rda Guinardó","",""
"152938","01734","C","Carrer del Torrent de la Guineu","Torrent Guineu","",""
"153001","01735","C","Carrer de la Guineueta","Guineueta","",""
"153158","01736","Rda","Ronda de la Guineueta Vella","Rda Guineueta Vell","",""
"153205","01737","Rbla","Rambla de Guipúscoa","Rbla Guipúscoa","",""
"153307","01738","C","Carrer de Guitert","Guitert","",""
"153500","01740","C","Carrer de Guspí","Guspí","",""
"153602","01741","C","Carrer de Gustavo Bécquer","Gustavo Bécquer","",""
"153704","01742","C","Carrer de Gutenberg","Gutenberg","",""
"153806","01743","Ptge","Passatge de Gutenberg","Ptge Gutenberg","",""
"153828","01744","Ptge","Passatge H Zona Franca","Ptge H Zona Franca","",""
"154004","01746","C","Carrer d'Haití","Haití","",""
"154208","01747","C","Carrer d'Hartzenbusch","Hartzenbusch","",""
"154300","01748","C","Carrer d'Hedilla","Hedilla","",""
"154401","01749","C","Carrer d'Hèrcules","Hèrcules","",""
"154605","01751","Csta","Costa de Sant Bartomeu de la Quadra","Csta St Bartomeu Q","",""
"154650","01752","C","Carrer dels Germans Serra","Germans Serra","",""
"154707","01753","Pl","Plaça dels Germans Serra","Pl Germans Serra","",""
"154809","01754","C","Carrer d'Hernán Cortés","Hernán Cortés","",""
"154900","01755","C","Carrer dels Herois del Bruc","Herois del Bruc","",""
"155007","01756","Pl","Plaça de Prat de la Riba","Pl Prat de la Riba","",""
"155109","01757","C","Carrer de Lázaro Cárdenas","Lázaro Cárdenas","",""
"155302","01758","C","Carrer de la Ferreria","Ferreria","",""
"155506","01760","C","Carrer dels Ferrers","Ferrers","",""
"155608","01761","C","Carrer d'Hercegovina","Hercegovina","",""
"155700","01762","Ptge","Passatge d'Hercegovina","Ptge Hercegovina","",""
"155801","01763","C","Carrer del Ferro","Ferro","",""
"156101","01764","C","Carrer d'Hipòlit Lázaro","Hipòlit Lázaro","",""
"156203","01765","Pl","Plaça de Pablo Neruda","Pl Pablo Neruda","",""
"156305","01766","C","Carrer de l'Historiador Maians","Historiador Maians","",""
"156407","01769","C","Carrer d'Homer","Homer","",""
"156509","01770","C","Carrer d'Hondures","Hondures","",""
"156600","01771","C","Carrer d'Horaci","Horaci","",""
"156702","01772","C","Carrer Horitzontal","Horitzontal","",""
"156804","01773","C","Carrer del Forn","Forn","",""
"156906","01774","Ptge","Passatge de l'Hort dels Velluters","Ptge Hort Velluter","",""
"157002","01775","C","Carrer de l'Hort de la Vila","Hort de la Vila","",""
"157104","01776","C","Carrer d'Horta","Horta","",""
"157206","01777","C","Carrer de Bonaventura Gispert","Bonaventura Gisper","",""
"157308","01778","Ctra","Carretera d'Horta a Cerdanyola","Ctra Hta Cerdany","",""
"157400","01779","C","Carrer de l'Hortal","Hortal","",""
"157705","01782","C","Carrer de l'Hortènsia","Hortènsia","",""
"157909","01783","C","Carrer de l'Hospital","Hospital","",""
"158005","01784","Ptge","Passatge de l'Hospital","Ptge Hospital","",""
"158107","01786","Av","Avinguda de Vallcarca","Av Vallcarca","",""
"158209","01788","C","Carrer d'Hostafrancs de Sió","Hostafrancs de Sió","",""
"158300","01789","C","Carrer de l'Hostal d'en Sol","Hostal d'en Sol","",""
"158402","01790","C","Carrer d'Hostalric","Hostalric","",""
"158504","01791","C","Carrer de Huelva","Huelva","",""
"158606","01792","C","Carrer de les Hortes","Hortes","",""
"158752","01793","C","Carrer de l'Hort de la Bomba","Hort de la Bomba","",""
"158800","01794","C","Carrer de l'Hort de Sant Pau","Hort de Sant Pau","",""
"158901","01795","Pl","Plaça d'Osca","Pl Osca","",""
"159008","01796","C","Carrer d'Hug de Rocabertí","Hug de Rocabertí","",""
"159100","01797","C","Carrer d'Hurtado","Hurtado","",""
"159201","01798","C","Carrer de la Vitrària","Vitrària","",""
"159303","01800","C","Carrer d'Ibèria","Ibèria","",""
"159405","01801","Pl","Plaça d'Ibèria","Pl Ibèria","",""
"159507","01802","Pl","Plaça d'Eivissa","Pl Eivissa","",""
"159609","01803","C","Carrer d'Ivorra","Ivorra","",""
"159653","01804","C","Carrer d'Idumea","Idumea","",""
"159700","01805","C","Carrer d'Ifni","Ifni","",""
"159802","01806","C","Carrer de l'Església","Església","",""
"159904","01807","Camí","Camí de l'Església","Camí Església","",""
"160007","01809","Ctra","Carretera de l'Església","Ctra Església","",""
"160200","01811","Cro","Carreró de Ca l'Iglésies","Cro Ca l'Iglésies","",""
"160302","01813","Ptge","Passatge d'Iglésias","Ptge Iglésias","",""
"160404","01814","Pl","Plaça d'Ignasi Juliol","Pl Ignasi Juliol","",""
"160608","01816","C","Carrer de Can Ros","Can Ros","",""
"160700","01817","C","Carrer d'Igualada","Igualada","",""
"160801","01818","Ptge","Passatge de la Igualtat","Ptge Igualtat","",""
"160903","01819","Pl","Plaça d'Ildefons Cerdà","Pl Ildefons Cerdà","",""
"161000","01820","C","Carrer d'Inca","Inca","",""
"161101","01821","C","Carrer de la Independència","Independència","",""
"161203","01822","Ptge","Passatge de la Independència","Ptge Independència","",""
"161247","01823","Pl","Plaça del Teix","Pl Teix","",""
"161305","01824","C","Carrer d'Indíbil","Indíbil","",""
"161407","01825","C","Carrer de la Indústria","Indústria","",""
"161509","01826","Ptge","Passatge de Graziella Pareto","Ptge G Pareto","",""
"161600","01827","Ptge","Passatge de Lluïsa Vidal","Ptge Lluïsa Vidal","",""
"161702","01828","Ptge","Passatge de la Indústria lletra C","Ptge Indústria C","",""
"161804","01829","Pl","Plaça de la Infància","Pl Infància","",""
"162002","01831","Av","Avinguda de Josep Tarradellas","Av J Tarradellas","",""
"162104","01832","C","Carrer de la Infanta Isabel","Infanta Isabel","",""
"162206","01833","Jard","Jardins de Magalí","Jard Magalí","",""
"162352","01835","C","Carrer de la Robínia","Robínia","",""
"162400","01836","C","Carrer de la Immaculada","Immaculada","",""
"162501","01837","C","Carrer del Lliri","Lliri","",""
"162603","01839","C","Carrer de l'Institut Frenopàtic","Inst Frenopàtic","",""
"162705","01841","C","Carrer de l'Institut Químic de Sarrià","Inst Químic Sarrià","",""
"162807","01842","Pg","Passeig de Minici Natal","Pg Minici Natal","",""
"162909","01843","C","Carrer d'Iradier","Iradier","",""
"163005","01844","C","Carrer d'Iriarte","Iriarte","",""
"163107","01845","C","Carrer d'Irlanda","Irlanda","",""
"163209","01846","Ptge","Passatge d'Irlanda","Ptge Irlanda","",""
"163402","01848","Ptge","Passatge d'Isabel","Ptge Isabel","",""
"163504","01849","Pg","Passeig d'Isabel II","Pg Isabel II","",""
"163708","01851","Ptge","Passatge d'Isabel Ribó","Ptge Isabel Ribó","",""
"164008","01854","Camí","Camí de Ca l'Isidret","Camí Ca l'Isidret","",""
"164100","01855","C","Carrer d'Isona","Isona","",""
"164303","01858","C","Carrer de Jacinto Benavente","Jacinto Benavente","",""
"164358","01859","C","Carrer de la Gardènia","Gardènia","",""
"164405","01860","Ptge","Passatge de Jacint Guardiola","Ptge J Guardiola","",""
"164507","01861","C","Carrer de Jacquard","Jacquard","",""
"164609","01862","C","Carrer de Jadraque","Jadraque","",""
"164700","01863","C","Carrer de Jaén","Jaén","",""
"164802","01864","C","Carrer de Jaume I","Jaume I","",""
"164904","01865","Pl","Plaça de Jaume II","Pl Jaume II","",""
"165000","01866","C","Carrer de Jaume Cabrera","Jaume Cabrera","",""
"165102","01867","C","Carrer de Jaume Càncer","Jaume Càncer","",""
"165204","01868","C","Carrer de Jaume Cascalls","Jaume Cascalls","",""
"165259","01869","C","Carrer del Baladre","Baladre","",""
"165306","01870","C","Carrer de Jaume Fabra","Jaume Fabra","",""
"165408","01871","C","Carrer de Jaume Fabre","Jaume Fabre","",""
"165500","01872","C","Carrer de Jaume Giralt","Jaume Giralt","",""
"165601","01873","C","Carrer de Jaume Huguet","Jaume Huguet","",""
"165612","01874","Pl","Plaça de Jaume Huguet","Pl Jaume Huguet","",""
"165656","01875","C","Carrer de Jaume Martí","Jaume Martí","",""
"165703","01876","C","Carrer de Jaume Pinent","Jaume Pinent","",""
"165805","01877","C","Carrer de Jaume Piquet","Jaume Piquet","",""
"165907","01878","C","Carrer de Jaume Puigvert","Jaume Puigvert","",""
"166003","01879","C","Carrer de Jaume Roig","Jaume Roig","",""
"166105","01880","Ptge","Passatge de Jaume Roig","Ptge Jaume Roig","",""
"166309","01882","C","Carrer de Jambrina","Jambrina","",""
"166400","01883","C","Carrer del Japó","Japó","",""
"166502","01884","Pl","Plaça dels Jardins d'Alfàbia","Pl Jardins Alfàbia","",""
"166513","01885","Jard","Jardins de Bacardí","Jard Bacardí","",""
"166535","01887","Jard","Jardins de Pedro Muñoz Seca","Jard P Muñoz Seca","",""
"166579","01889","Jard","Jardins de Can Mantega","Jard Can Mantega","",""
"166580","01890","Parc","Parc de Cervantes","Parc Cervantes","",""
"166590","01891","Jard","Jardins del Doctor Roig i Raventós","Jard Dr Roig Raven","",""
"166604","01892","C","Carrer del Gessamí","Gessamí","",""
"166659","01893","Jard","Jardins de Joaquim Ruyra","Jard Joaquim Ruyra","",""
"166670","01894","Jard","Jardins de Joan Altisent","Jard Joan Altisent","",""
"166681","01895","C","Carrer de Joaquim Sunyer","Joaquim Sunyer","",""
"166750","01897","Jard","Jardins de les Voltes d'en Cirés","Jard Voltes Cirés","",""
"166808","01898","C","Carrer de Jerez","Jerez","",""
"166900","01899","C","Carrer de Jericó","Jericó","",""
"167108","01902","C","Carrer de Jerusalem","Jerusalem","",""
"167200","01903","C","Carrer de Jesús","Jesús","",""
"167301","01904","C","Carrer de Jesús i Maria","Jesús i Maria","",""
"167403","01905","Ptge","Passatge de la Cadernera","Ptge Cadernera","",""
"167425","01906","Pl","Plaça de Joan Corrades","Pl Joan Corrades","",""
"167458","01907","Jard","Jardins de Joan Maragall","Jard Joan Maragall","",""
"167505","01908","Pl","Plaça d'en Joanic","Pl Joanic","",""
"167550","01909","Pl","Plaça de Joan Llongueras","Pl Joan Llongueras","",""
"167607","01910","C","Carrer de Joanot Martorell","Joanot Martorell","",""
"167709","01911","C","Carrer de Joaquín Costa","Joaquín Costa","",""
"167800","01912","C","Carrer de Joaquim Molins","Joaquim Molins","",""
"167902","01913","Pl","Plaça de Joaquim Pena","Pl Joaquim Pena","",""
"168009","01914","Ptge","Passatge de Joaquim Pujol","Ptge Joaquim Pujol","",""
"168053","01915","Pg","Passeig de Joaquim Renart","Pg Joaquim Renart","",""
"168100","01916","Ptge","Passatge de Joaquim Rita","Ptge Joaquim Rita","",""
"168202","01917","C","Carrer de Joaquim Ruyra","Joaquim Ruyra","",""
"168304","01918","C","Carrer de Joaquim Valls","Joaquim Valls","",""
"168406","01919","C","Carrer de Jorba","Jorba","",""
"168508","01920","Ptge","Passatge de Jorba","Ptge Jorba","",""
"168701","01921","C","Carrer de Jordà","Jordà","",""
"168803","01922","Av","Avinguda del Jordà","Av Jordà","",""
"168905","01923","C","Carrer de Jordi de Sant Jordi","Jordi Sant Jordi","",""
"169001","01924","Ptge","Passatge de Jordi Ferran","Ptge Jordi Ferran","",""
"169023","01925","C","Carrer de Jordi Girona","Jordi Girona","",""
"169103","01926","C","Carrer de Jorge Manrique","Jorge Manrique","",""
"169205","01927","C","Carrer de José de Agulló","José de Agulló","",""
"169307","01928","C","Carrer de Josep Anselm Clavé","Josep Anselm Clavé","",""
"169409","01929","G.V.","Gran Via de les Corts Catalanes","GV Corts Catalanes","",""
"169500","01930","C","Carrer de Josep Balari","Josep Balari","",""
"169602","01931","C","Carrer de Josep Bertrand","Josep Bertrand","",""
"169657","01932","C","Carrer de Josep Canaleta","Josep Canaleta","",""
"169704","01933","C","Carrer de Josep Ciurana","Josep Ciurana","",""
"169908","01934","C","Carrer de Josep Estivill","Josep Estivill","",""
"170000","01936","C","Carrer de Josep Garí","Josep Garí","",""
"170102","01937","C","Carrer de Josep Yxart","Josep Yxart","",""
"170204","01938","C","Carrer de Josep Jover","Josep Jover","",""
"170306","01939","Ptge","Passatge de Josep Llovera","Ptge Josep Llovera","",""
"170408","01940","C","Carrer de Josep M. Florensa","Josep M. Florensa","",""
"170500","01941","Pl","Plaça de Josep M. Folch i Torres","Pl J. Folch Torres","",""
"170554","01942","C","Carrer de Josep M. Jujol","Josep M. Jujol","",""
"170601","01943","C","Carrer de José Millán González","J Millán González","",""
"170703","01944","C","Carrer de Josep Sangenís","Josep Sangenís","",""
"170758","01945","C","Carrer de Josep Soldevila","Josep Soldevila","",""
"170805","01946","C","Carrer de Josepa Massanés","Josepa Massanés","",""
"170907","01947","C","Carrer de la Jota","Jota","",""
"171003","01948","C","Carrer de Jovellanos","Jovellanos","",""
"171105","01949","C","Carrer de Joan I","Joan I","",""
"171207","01950","C","Carrer de Joan Alcover","Joan Alcover","",""
"171309","01951","C","Carrer de Joan d'Alòs","Joan d'Alòs","",""
"171400","01953","C","Carrer de Joan d'Àustria","Joan d'Àustria","",""
"171502","01954","C","Carrer de Juan de Ávila","Juan de Ávila","",""
"171604","01955","C","Carrer de Joan Blanques","Joan Blanques","",""
"171706","01956","C","Carrer de Juan Bravo","Juan Bravo","",""
"171808","01957","Ptge","Passatge de Joan Casas","Ptge Joan Casas","",""
"171900","01958","C","Carrer de Joan Cortada","Joan Cortada","",""
"172006","01959","C","Carrer de Trias i Giró","Trias i Giró","",""
"172108","01960","C","Carrer de Joan Gamper","Joan Gamper","",""
"172200","01961","C","Carrer de Juan de Garay","Juan de Garay","",""
"172301","01962","Ptge","Passatge de Joan Goula","Ptge Joan Goula","",""
"172403","01963","C","Carrer de Joan Güell","Joan Güell","",""
"172607","01964","C","Carrer de Joan Massana","Joan Massana","",""
"172709","01965","C","Carrer de Juan de Mena","Juan de Mena","",""
"172902","01967","C","Carrer de Joan de Palomar","Joan de Palomar","",""
"173009","01968","C","Carrer de Joan de Peguera","Joan de Peguera","",""
"173100","01969","C","Carrer de Joan Riera","Joan Riera","",""
"173202","01970","C","Carrer de Juan de Sada","Juan de Sada","",""
"173304","01971","C","Carrer de Johann Sebastian Bach","J Sebastian Bach","",""
"173406","01972","C","Carrer de Sibelius","Sibelius","",""
"173508","01973","C","Carrer de Joan Torras","Joan Torras","",""
"173600","01974","C","Carrer de Juan Valera","Juan Valera","",""
"173701","01975","C","Carrer de Joan Orpí","Joan Orpí","",""
"173803","01976","C","Carrer de Jubany","Jubany","",""
"173870","01977","C","Carrer de Judea","Judea","",""
"173905","01978","C","Carrer dels Jocs Florals","Jocs Florals","",""
"174001","01979","C","Carrer del Judici","Judici","",""
"174103","01980","C","Carrer de Julià","Julià","",""
"174205","01981","Ptge","Passatge de Julià","Ptge Julià","",""
"174307","01982","Via","Via Júlia","Via Júlia","",""
"174409","01983","C","Carrer de Julià Portet","Julià Portet","",""
"174500","01984","C","Carrer de Julián Romea","Julián Romea","",""
"174602","01985","C","Carrer del Juliol","Juliol","",""
"174704","01986","C","Carrer de Jules Verne","Jules Verne","",""
"174908","01987","C","Carrer del Joncar","Joncar","",""
"175004","01988","C","Carrer de la Jonquera","Jonquera","",""
"175106","01989","C","Carrer de Jonqueres","Jonqueres","",""
"175208","01990","C","Carrer de la Junta de Comerç","Junta de Comerç","",""
"175300","01991","C","Carrer de Jupí","Jupí","",""
"175321","01992","C","Carrer de Júpiter","Júpiter","",""
"175354","01993","C","Carrer de Borrell i Soler","Borrell i Soler","",""
"175478","01995","C","Carrer K Zona Franca","K Zona Franca","",""
"175503","01997","Ptge","Passatge de Klein","Ptge Klein","",""
"175558","01998","C","Carrer L Zona Franca","L Zona Franca","",""
"175605","01999","C","Carrer del Laberint","Laberint","",""
"175627","02000","Parc","Parc del Laberint","Parc Laberint","",""
"175707","02001","C","Carrer dels Rajolers","Rajolers","",""
"175809","02002","C","Carrer de Lafont","Lafont","",""
"175900","02003","C","Carrer de Laforja","Laforja","",""
"176109","02007","Pl","Plaça de la Laguna de Lanao","Pl Laguna de Lanao","",""
"176153","02008","C","Carrer dels Lamote de Grignon","Lamote de Grignon","",""
"176200","02009","Pl","Plaça de la Llana","Pl Llana","",""
"176302","02010","C","Carrer de Lancaster","Lancaster","",""
"176404","02011","C","Carrer del Llenguadoc","Llenguadoc","",""
"176506","02012","C","Carrer de Lanzarote","Lanzarote","",""
"176608","02013","C","Carrer de Larrard","Larrard","",""
