Code,Transport,Longitude,Latitude,Station,District.Name,Neighborhood.Name
K001,Underground,2.11937,41.399203,FGC (L6) - REINA ELISENDA (Sortida Duquesa d'Orleans)-,Sarrià-Sant Gervasi,Sarrià
K001,Underground,2.135427,41.397791,FGC (L6) - LA BONANOVA-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
K001,Underground,2.185391,41.451492,METRO (L11) - CASA DE L'AIGUA (C. Vila-Real)-,Nou Barris,la Trinitat Nova
K001,Underground,2.174473,41.460889,METRO (L11) - CIUTAT MERIDIANA (C. Pedraforca)-,Nou Barris,Ciutat Meridiana
K001,Underground,2.168588,41.3872,METRO (L1) - CATALUNYA (Rda. Universitat)-,Eixample,la Dreta de l'Eixample
K001,Underground,2.168507,41.387706,METRO (L1) - CATALUNYA (Rambla de Catalunya)-,Eixample,la Dreta de l'Eixample
K001,Underground,2.118998,41.398967,FGC (L6) - REINA ELISENDA-,Sarrià-Sant Gervasi,Sarrià
K001,Underground,2.0839939999999997,41.362753000000005,METRO (L5) - SANT ILDEFONS-,,
K001,Underground,2.1429869999999998,41.424923,"METRO (L3, L5) - VALL D'HEBRON (C. de les Basses d'Horta)-",Horta-Guinardó,la Vall d'Hebron
K002,Railway (FGC),2.1583259999999997,41.392331,FGC - PROVENÇA (C. de Provença)-,Eixample,l'Antiga Esquerra de l'Eixample
K001,Underground,2.100302,41.362977,METRO (L1) - RAMBLA JUST OLIVERAS-,,
K001,Underground,2.179581,41.40018,METRO (L2) - MONUMENTAL (C. de la Marina)-,Eixample,el Fort Pienc
K001,Underground,2.153966,41.37907,METRO (L1) - ROCAFORT (C. de Rocafort)-,Eixample,la Nova Esquerra de l'Eixample
K001,Underground,2.168735,41.389295000000004,METRO (L2) - PASSEIG DE GRÀCIA (Pg. de Gràcia)-,Eixample,la Dreta de l'Eixample
K001,Underground,2.161228,41.430042,METRO (L5) - HORTA (Pl. d'Eivissa)-,Horta-Guinardó,Horta
K011,Tram,2.098896,41.376486,"TRAMVIA (T1,T2,T3) - CA N'OLIVERES-",,
K001,Underground,2.1331900000000004,41.373293,METRO (L1) - MERCAT NOU (C. d'Antoni de Capmany)-,Sants-Montjuïc,Sants
K001,Underground,2.1454779999999998,41.378565,METRO (L3) - TARRAGONA-,Eixample,la Nova Esquerra de l'Eixample
K001,Underground,2.147798,41.434855,METRO (L3) - MUNDET (Can Marcet)-,Horta-Guinardó,la Vall d'Hebron
K001,Underground,2.148557,41.435325,METRO (L3) - MUNDET (Can Marcet)-,Horta-Guinardó,la Vall d'Hebron
K001,Underground,2.215909,41.41174,METRO (L4) - EL MARESME-FÒRUM (C. del Maresme)-,Sant Martí,el Besòs i el Maresme
K001,Underground,2.163252,41.385015,METRO (L2) - UNIVERSITAT-,Eixample,Sant Antoni
K011,Tram,2.197653,41.411242,"TRAMVIA (T5, T6) - ESPRONCEDA-",Sant Martí,Provençals del Poblenou
K011,Tram,2.115012,41.38048,"TRAMVIA (T1,T2,T3) - AVINGUDA DE XILE-",Les Corts,la Maternitat i Sant Ramon
K011,Tram,2.106023,41.376071,"TRAMVIA (T1,T2,T3) - CAN RIGAL-",,
K011,Tram,2.222916,41.430456,TRAMVIA (T5) - ENCANTS DE SANT ADRIÀ-,,
K011,Tram,2.2198290000000003,41.411777,TRAMVIA (T4) - FÒRUM-,Sant Martí,el Besòs i el Maresme
K011,Tram,2.230412,41.423854,"TRAMVIA (T4, T6) - ESTACIÓ DE SANT ADRIÀ-",,
K011,Tram,2.062227,41.360383,"TRAMVIA (T1,T2) - FONTSANTA-FATJÓ-",,
K008,Maritime station,2.182868,41.370929,Estació Marítima INTERNACIONAL-,,
K001,Underground,2.125369,41.357005,FGC (L8) - EUROPA / FIRA-,,
K001,Underground,2.178826,41.444145,METRO (L4) - VIA JÚLIA (Via Júlia - Joaquim Valls)-,Nou Barris,la Prosperitat
K001,Underground,2.141603,41.380858,METRO (L3) - SANTS ESTACIÓ (C. de Numància)-,Sants-Montjuïc,Sants
K001,Underground,2.171334,41.394796,METRO (L4) - GIRONA (C. de Girona)-,Eixample,la Dreta de l'Eixample
K001,Underground,2.172883,41.436715,METRO (L4) - LLUCMAJOR (Pg. del Verdum)-,Nou Barris,la Guineueta
K001,Underground,2.127313,41.375605,METRO (L5) - BADAL-,Sants-Montjuïc,Sants - Badal
K001,Underground,2.202855,41.403481,METRO (L4) - POBLENOU (C. de Pujades)-,Sant Martí,el Poblenou
K001,Underground,2.180781,41.423505,METRO (L5) - CONGRÉS (C. de Garcilaso)-,Sant Andreu,el Congrés i els Indians
K001,Underground,2.14909,41.374291,METRO (L3) - ESPANYA (Pl. d'Espanya)-,Sants-Montjuïc,el Poble-sec
K003,RENFE,2.181768,41.496321,RENFE - MONTCADA-RIPOLLET-,,
K003,RENFE,2.170436,41.388108,RENFE - CATALUNYA-,Eixample,la Dreta de l'Eixample
K003,RENFE,2.09108,41.331201,RENFE - EL PRAT DE LLOBREGAT-,,
K011,Tram,2.076889,41.365513,"TRAMVIA (T1,T2) - EL PEDRÒ-",,
K001,Underground,2.127857,41.388357,METRO (L3) - MARIA CRISTINA (Pl. de la Reina Maria Cristina)-,Les Corts,les Corts
K001,Underground,2.163681,41.384514,METRO (L2) - UNIVERSITAT (Rda. de Sant Antoni)-,Eixample,Sant Antoni
K001,Underground,2.106775,41.373558,METRO (L5) - PUBILLA CASES-,,
K001,Underground,2.1550130000000003,41.423558,METRO (L5) - EL CARMEL (C. de Llobregós - Mercat)-,Horta-Guinardó,el Carmel
K001,Underground,2.084164,41.363278,METRO (L5) - SANT ILDEFONS-,,
K001,Underground,2.0726720000000003,41.356107,METRO (L5) - CORNELLÀ CENTRE-,,
K001,Underground,2.072404,41.356151000000004,METRO (L5) - CORNELLÀ CENTRE-,,
K001,Underground,2.1495040000000003,41.419877,METRO (L5) - EL COLL / LA TEIXONERA (C. del Beat Almató)-,Gràcia,el Coll
K001,Underground,2.176315,41.404257,METRO (L2) - SAGRADA FAMÍLIA-,Eixample,la Sagrada Família
K001,Underground,2.16623,41.412431,METRO (L4) - ALFONS X (Parc de les Aigües)-,Horta-Guinardó,el Baix Guinardó
K001,Underground,2.165088,41.412123,METRO (L4) - ALFONS X (Pl. d'Alfons el Savi)-,Horta-Guinardó,el Baix Guinardó
K001,Underground,2.224024,41.442346,METRO (L10) - LA SALUT-,,
K001,Underground,2.180022,41.400331,METRO (L2) - MONUMENTAL (C. de la Diputació)-,Eixample,el Fort Pienc
K001,Underground,2.170433,41.375177,METRO (L3) - PARAL·LEL (C. Nou de la Rambla)-,Ciutat Vella,el Raval
K002,Railway (FGC),2.135427,41.397791,FGC - BONANOVA-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
K002,Railway (FGC),2.139248,41.405731,FGC - EL PUTXET-,Sarrià-Sant Gervasi,el Putxet i el Farró
K011,Tram,2.075814,41.372339000000004,TRAMVIA (T3) - SANT MARTÍ DE L'ERM-,,
K002,Railway (FGC),2.125112,41.398959999999995,FGC - SARRIÀ-,Sarrià-Sant Gervasi,les Tres Torres
K001,Underground,2.2079880000000003,41.451908,METRO (L1) - SANTA COLOMA-,,
K001,Underground,2.20835,41.451603999999996,METRO (L1) - SANTA COLOMA-,,
K001,Underground,2.186428,41.395579999999995,METRO (L1) - MARINA (Av. Meridiana)-,Eixample,el Fort Pienc
K004,Airport train,2.189397,41.410259,Tren AEROPORT - CLOT-,Sant Martí,el Clot
K001,Underground,2.217787,41.451728,METRO (L1) - FONDO-,,
K001,Underground,2.110686,41.351236,METRO (L1) - BELLVITGE-,,
K002,Railway (FGC),2.073187,41.444795,FGC - LA FLORESTA-,,
K011,Tram,2.134953,41.412807,TRAMVIA BLAU - AV. TIBIDABO (Bosch i Alsina-Josep Mª Florensa)-,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
K011,Tram,2.075217,41.378842,TRAMVIA (T3) - RAMBLA DE SANT JUST-,,
K011,Tram,2.22618,41.418903,"TRAMVIA (T4, T6) - PORT FÒRUM-",,
K002,Railway (FGC),2.167015,41.385919,FGC - CATALUNYA (C. de Balmes)-,Eixample,la Dreta de l'Eixample
K001,Underground,2.2281470000000003,41.435342,METRO (L2) - SANT ROC-,,
K001,Underground,2.2096709999999997,41.408202,METRO (L4) - SELVA DE MAR (C. de la Selva de Mar)-,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou
K011,Tram,2.084309,41.373477,"TRAMVIA (T1,T2,T3) - LA SARDANA-",,
K002,Railway (FGC),2.1371729999999998,41.410227,FGC - AVINGUDA DEL TIBIDABO-,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
K001,Underground,2.1754849999999997,41.394284999999996,METRO (L2) - TETUAN (Pl. de Tetuan)-,Eixample,la Dreta de l'Eixample
K001,Underground,2.17912,41.459624,METRO (L11) - TORRE BARÓ - VALLBONA (C. Sant Feliu de Codines)-,Nou Barris,Torre Baró
K001,Underground,2.1299759999999996,41.369557,METRO (L1) - SANTA EULÀLIA-,,
K001,Underground,2.176558,41.425638,METRO (L5) - MARAGALL (Av. de Borbó)-,Nou Barris,Vilapicina i la Torre Llobeta
K001,Underground,2.160904,41.395745,METRO (L3) - DIAGONAL (Pg. de Gràcia)-,Eixample,la Dreta de l'Eixample
K001,Underground,2.170725,41.38604,METRO (L3) - CATALUNYA (C. Fontanella)-,Ciutat Vella,el Barri Gòtic
K001,Underground,2.145084,41.411401,METRO (L3) - VALLCARCA-,Gràcia,Vallcarca i els Penitents
K001,Underground,2.15177,41.388946000000004,METRO (L5) - HOSPITAL CLÍNIC (C. de Villarroel)-,Eixample,l'Antiga Esquerra de l'Eixample
K001,Underground,2.130075,41.398154,FGC (L6) - LES TRES TORRES-,Sarrià-Sant Gervasi,les Tres Torres
K002,Railway (FGC),2.142617,41.403596,FGC - PADUA-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
K002,Railway (FGC),2.11937,41.399203,FGC - REINA ELISENDA (Sortida Duquesa d'Orleans)-,Sarrià-Sant Gervasi,Sarrià
K001,Underground,2.215908,41.446684000000005,METRO (L9) - SANTA ROSA-,,
K001,Underground,2.183562,41.430861,METRO (L1) - FABRA I PUIG (Av. Meridiana)-,Sant Andreu,Sant Andreu
K001,Underground,2.110976,41.351991,METRO (L1) - BELLVITGE-,,
K001,Underground,2.137493,41.37525,METRO (L1) - PLAÇA DE SANTS (C. de Sants)-,Sants-Montjuïc,Sants
K001,Underground,2.187072,41.395421999999996,METRO (L1) - MARINA (C. dels Almogàvers)-,Sant Martí,el Parc i la Llacuna del Poblenou
K001,Underground,2.131389,41.384545,METRO (L3) - LES CORTS-,Les Corts,les Corts
K001,Underground,2.187086,41.416156,METRO (L1) - NAVAS-,Sant Andreu,Navas
K001,Underground,2.160483,41.42973,METRO (L5) - HORTA (C. del Tajo)-,Horta-Guinardó,Horta
K001,Underground,2.173684,41.43758,METRO (L4) - LLUCMAJOR (Pg. del Verdum)-,Nou Barris,la Guineueta
K010,Cableway,2.180119,41.372103,Transbordador del Port - Jaume I-,Ciutat Vella,el Raval
K008,Maritime station,2.178562,41.359077,Estació Marítima B-,,
K001,Underground,2.177118,41.44795,METRO (L3) - ROQUETES (Pla dels Cirerers)-,Nou Barris,les Roquetes
K001,Underground,2.184457,41.449665,METRO (L3) - TRINITAT NOVA (Parc/Tamariu)-,Nou Barris,la Trinitat Nova
K001,Underground,2.184161,41.449514,METRO (L3) - TRINITAT NOVA-,Nou Barris,la Trinitat Nova
K001,Underground,2.177349,41.422701,METRO (L4) - MARAGALL (Rda. del Guinardó)-,Horta-Guinardó,el Guinardó
K001,Underground,2.150676,41.388476000000004,METRO (L5) - HOSPITAL CLÍNIC (C. del Comte d'Urgell)-,Eixample,l'Antiga Esquerra de l'Eixample
K001,Underground,2.141512,41.381522,METRO (L3) - SANTS ESTACIÓ-,Sants-Montjuïc,Sants
K001,Underground,2.1200490000000003,41.375997999999996,METRO (L5) - COLLBLANC-,,
K004,Airport train,2.1652560000000003,41.391870000000004,Tren AEROPORT - PASSEIG DE GRÀCIA-,Eixample,la Dreta de l'Eixample
K003,RENFE,2.021024,41.410016999999996,RENFE - MOLINS DE REI-,,
K003,RENFE,2.2490930000000002,41.445856,RENFE - BADALONA-,,
K003,RENFE,2.187908,41.409832,RENFE - CLOT-,Sant Martí,el Clot
K003,RENFE,2.189397,41.410259,RENFE - CLOT-,Sant Martí,el Clot
K003,RENFE,2.167379,41.481319,RENFE - MONTCADA I REIXAC-STA. MARIA-,,
K003,RENFE,2.181952,41.393384999999995,RENFE - ARC DE TRIOMF-,Eixample,el Fort Pienc
K003,RENFE,2.16875,41.387019,RENFE - CATALUNYA-,Eixample,la Dreta de l'Eixample
K001,Underground,2.090782,41.366054999999996,METRO (L5) - CAN BOIXERES-,,
K001,Underground,2.217371,41.433504,METRO (L2) - ARTIGUES-SANT ADRIÀ-,,
K001,Underground,2.180381,41.391664,METRO (L1) - ARC DE TRIOMF (Avda. de Vilanova)-,Eixample,el Fort Pienc
K001,Underground,2.142362,41.375134,METRO (L1) - HOSTAFRANCS (C. del Moianès)-,Sants-Montjuïc,Hostafrancs
K001,Underground,2.163163,41.406001,METRO (L4) - JOANIC (C. de Pi i Margall)-,Gràcia,el Camp d'en Grassot i Gràcia Nova
K001,Underground,2.217241,41.433816,METRO (L2) - ARTIGUES-SANT ADRIÀ-,,
K001,Underground,2.150029,41.375363,METRO (L3) - ESPANYA (Gv. Corts Catalanes)-,Eixample,Sant Antoni
K001,Underground,2.16169,41.375204,METRO (L3) - POBLE SEC (Av. del Paral.lel)-,Eixample,Sant Antoni
K001,Underground,2.174845,41.429404,METRO (L5) - VIRREI AMAT (Pl. de Virrei Amat)-,Nou Barris,Vilapicina i la Torre Llobeta
K001,Underground,2.182124,41.423446999999996,METRO (L5) - CONGRÉS (Pl. dels Indians)-,Sant Andreu,el Congrés i els Indians
K001,Underground,2.167494,41.399121,METRO (L5) - VERDAGUER (C. de Bailèn)-,Eixample,la Dreta de l'Eixample
K001,Underground,2.195013,41.415283,METRO (L2) - BAC DE RODA-,Sant Martí,Sant Martí de Provençals
K001,Underground,2.193133,41.429748,"METRO (L9, L10) - ONZE DE SETEMBRE-",Sant Andreu,Sant Andreu
K001,Underground,2.142617,41.403596,FGC (L7) - PADUA-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
K001,Underground,2.143251,41.398645,FGC (L6) - MUNTANER-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
K001,Underground,2.182802,41.407068,METRO (L2) - ENCANTS (C. de València)-,Sant Martí,el Camp de l'Arpa del Clot
K001,Underground,2.151636,41.399679,"FGC (L6,L7) - GRÀCIA (C. de Marià Cubí)-",Sarrià-Sant Gervasi,Sant Gervasi - Galvany
K001,Underground,2.125789,41.398544,FGC (L6) - SARRIÀ-,Sarrià-Sant Gervasi,les Tres Torres
K001,Underground,2.1800610000000002,41.392387,METRO (L1) - ARC DE TRIOMF-,Eixample,el Fort Pienc
K001,Underground,2.157006,41.438128000000006,METRO (L3) - VALLDAURA-,Horta-Guinardó,Horta
K002,Railway (FGC),2.142754,41.398631,FGC - MUNTANER-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
K011,Tram,2.213571,41.417238,"TRAMVIA (T5, T6) - ALFONS EL MAGNÀNIM-",Sant Martí,el Besòs i el Maresme
K011,Tram,2.217564,41.41938,"TRAMVIA (T5, T6) - PARC DEL BESÓS-",,
K002,Railway (FGC),2.1308279999999997,41.397781,FGC - LES TRES TORRES-,Sarrià-Sant Gervasi,les Tres Torres
K001,Underground,2.187272,41.423089000000004,METRO (L1) - LA SAGRERA (C. de Garcilaso)-,Sant Andreu,la Sagrera
K001,Underground,2.187513,41.402698,METRO (L1) - GLÒRIES-,Sant Martí,el Parc i la Llacuna del Poblenou
K001,Underground,2.186842,41.395573999999996,METRO (L1) - MARINA-,Sant Martí,el Parc i la Llacuna del Poblenou
K001,Underground,2.164571,41.386145,METRO (L1) - UNIVERSITAT (Rda. de la Universitat)-,Eixample,la Dreta de l'Eixample
K001,Underground,2.190501,41.442298,METRO (L1) - TORRAS I BAGES (C. de Palomar)-,Sant Andreu,Sant Andreu
K001,Underground,2.217064,41.451761,METRO (L1) - FONDO-,,
K001,Underground,2.1870979999999998,41.402063,METRO (L1) - GLÒRIES (Av. Meridiana)-,Sant Martí,el Parc i la Llacuna del Poblenou
K001,Underground,2.1026689999999997,41.357403999999995,METRO (L1) - AVINGUDA CARRILET-,,
K011,Tram,2.193551,41.408024,"TRAMVIA (T5, T6) - CAN JAUMANDREU-",Sant Martí,Provençals del Poblenou
K002,Railway (FGC),2.147016,41.401371999999995,FGC - SANT GERVASI-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
K001,Underground,2.228502,41.435868,METRO (L2) - SANT ROC-,,
K011,Tram,2.1321529999999997,41.415065000000006,TRAMVIA BLAU - AV. TIBIDABO (Teodor Roviralta-Adrià Margarit)-,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
K001,Underground,2.186173,41.410117,METRO (L2) - CLOT (C. de Sibelius)-,Sant Martí,el Camp de l'Arpa del Clot
K001,Underground,2.103659,41.368289000000004,METRO (L1) - CAN SERRA-,,
K001,Underground,2.103234,41.367647,METRO (L1) - CAN SERRA-,,
K001,Underground,2.159449,41.382954999999995,METRO (L1) - URGELL (Gv. Corts Catalanes)-,Eixample,l'Antiga Esquerra de l'Eixample
K001,Underground,2.163015,41.379953,METRO (L2) - SANT ANTONI-,Eixample,Sant Antoni
K001,Underground,2.0789169999999997,41.357389000000005,METRO (L5) - GAVARRA-,,
K001,Underground,2.166992,41.430601,METRO (L5) - VILAPICINA (C. de Canfranc)-,Nou Barris,el Turó de la Peira
K001,Underground,2.1598490000000004,41.382668,METRO (L1) - URGELL (C. de Villarroel)-,Eixample,Sant Antoni
K001,Underground,2.16776,41.430824,METRO (L5) - VILAPICINA-,Nou Barris,el Turó de la Peira
K002,Railway (FGC),2.00528,41.398990999999995,FGC - CAN ROS-,,
K002,Railway (FGC),2.031499,41.363609000000004,FGC - COLÒNIA GÜELL-,,
K001,Underground,2.1186990000000003,41.398423,FGC (L6) - REINA ELISENDA (Sortida J. V. Foix)-,Sarrià-Sant Gervasi,Sarrià
K001,Underground,2.139887,41.381979,METRO (L3) - SANTS ESTACIÓ (C. d'Enric Bargés)-,Sants-Montjuïc,Sants
K001,Underground,2.1641630000000003,41.385551,METRO (L1) - UNIVERSITAT-,Eixample,Sant Antoni
K001,Underground,2.1601220000000003,41.396315,METRO (L3) - DIAGONAL (Av. Diagonal)-,Eixample,la Dreta de l'Eixample
K001,Underground,2.175987,41.377112,METRO (L3) - DRASSANES (C. del Portal de Santa Madrona)-,Ciutat Vella,el Raval
K001,Underground,2.174676,41.394956,METRO (L2) - TETUAN (Pl. de Tetuan)-,Eixample,la Dreta de l'Eixample
K001,Underground,2.1741330000000003,41.430265999999996,METRO (L5) - VIRREI AMAT (Pg. Fabra i Puig)-,Nou Barris,Vilapicina i la Torre Llobeta
K001,Underground,2.187229,41.415812,METRO (L1) - NAVAS (C. de Palència)-,Sant Andreu,Navas
K001,Underground,2.181619,41.44867,"METRO (L4,L11) - TRINITAT NOVA (Aiguablava)-",Nou Barris,la Trinitat Nova
K001,Underground,2.176324,41.411021000000005,METRO (L5) - SANT PAU-DOS DE MAIG-,Eixample,la Sagrada Família
K001,Underground,2.138801,41.375217,METRO (L1) - PLAÇA DE SANTS (C. de Sants)-,Sants-Montjuïc,Sants
K001,Underground,2.152507,41.399553999999995,"FGC (L6,L7) - GRÀCIA-",Gràcia,la Vila de Gràcia
K001,Underground,2.118013,41.385808000000004,METRO (L3) - PALAU REIAL (Av. Diagonal)-,Les Corts,la Maternitat i Sant Ramon
K001,Underground,2.208411,41.407903000000005,METRO (L4) - SELVA DE MAR (C. de Provençals)-,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou
K001,Underground,2.168457,41.430572,METRO (L5) - VILAPICINA (Pg. de Fabra i Puig)-,Nou Barris,el Turó de la Peira
K011,Tram,2.05321,41.379349,Tramvia (T3) - SANT FELIU/CONSELL COMARCAL-,,
K011,Tram,2.203312,41.40744,TRAMVIA (T4) - FLUVIÀ-,Sant Martí,Provençals del Poblenou
K009,Funicular,2.111267,41.409124,Funicular VALLVIDRERA - inferior-,Sarrià-Sant Gervasi,Sarrià
K003,RENFE,2.1831009999999997,41.430862,RENFE - SANT ANDREU ARENAL-,Sant Andreu,Sant Andreu
K001,Underground,2.23821,41.444590999999996,METRO (L2) - PEP VENTURA-,,
K001,Underground,2.18566,41.382674,METRO (L4) - BARCELONETA-,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
