"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS",
"68132045","Centre Esportiu Municipal Marítim","#","Pg","Marítim de la Barceloneta","33","33","03","la Barceloneta","01","Ciutat Vella","08003","019","BARCELONA","41.384662","2.195479","432733.163","4581771.882","432825.117","4581972.815","932240440","Tel.","","01/01","31/12","0000011","07:00:00","00:00:00"," ",
"68132045","Centre Esportiu Municipal Marítim","#","Pg","Marítim de la Barceloneta","33","33","03","la Barceloneta","01","Ciutat Vella","08003","019","BARCELONA","41.384662","2.195479","432733.163","4581771.882","432825.117","4581972.815","932240440","Tel.","","01/01","31/12","1111101","08:00:00","21:00:00"," ",
"68132045","Centre Esportiu Municipal Marítim","#","Pg","Marítim de la Barceloneta","33","33","03","la Barceloneta","01","Ciutat Vella","08003","019","BARCELONA","41.384662","2.195479","432733.163","4581771.882","432825.117","4581972.815","932240440","Tel.","","01/01","31/12","1111110","09:00:00","17:00:00"," ",
"75990288285","Centre Esportiu Municipal Aiguajoc Borrell","#","C","Comte Borrell","21","33","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.376403","2.163771","430073.114","4580880.102","430165.044","4581081.026","934411332","Fax","","01/01","31/12","0000011","06:50:00","23:00:00"," ",
"75990288285","Centre Esportiu Municipal Aiguajoc Borrell","#","C","Comte Borrell","21","33","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.376403","2.163771","430073.114","4580880.102","430165.044","4581081.026","934411332","Fax","","01/01","31/12","1111101","08:00:00","22:00:00"," ",
"75990288285","Centre Esportiu Municipal Aiguajoc Borrell","#","C","Comte Borrell","21","33","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.376403","2.163771","430073.114","4580880.102","430165.044","4581081.026","934411332","Fax","","01/01","31/12","1111110","09:00:00","15:00:00"," ",
"75990288285","Centre Esportiu Municipal Aiguajoc Borrell","#","C","Comte Borrell","21","33","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.376403","2.163771","430073.114","4580880.102","430165.044","4581081.026","934411332","Fax","","01/01","31/12","1111111","09:00:00","14:00:00"," ",
"75990288285","Centre Esportiu Municipal Aiguajoc Borrell","#","C","Comte Borrell","21","33","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.376403","2.163771","430073.114","4580880.102","430165.044","4581081.026","934430335","Tel.","","01/01","31/12","0000011","06:50:00","23:00:00"," ",
"75990288285","Centre Esportiu Municipal Aiguajoc Borrell","#","C","Comte Borrell","21","33","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.376403","2.163771","430073.114","4580880.102","430165.044","4581081.026","934430335","Tel.","","01/01","31/12","1111101","08:00:00","22:00:00"," ",
"75990288285","Centre Esportiu Municipal Aiguajoc Borrell","#","C","Comte Borrell","21","33","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.376403","2.163771","430073.114","4580880.102","430165.044","4581081.026","934430335","Tel.","","01/01","31/12","1111110","09:00:00","15:00:00"," ",
"75990288285","Centre Esportiu Municipal Aiguajoc Borrell","#","C","Comte Borrell","21","33","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.376403","2.163771","430073.114","4580880.102","430165.044","4581081.026","934430335","Tel.","","01/01","31/12","1111111","09:00:00","14:00:00"," ",
"75990492186","Centre Esportiu Municipal Sagrada Família","#","C","Cartagena","231","239","06","la Sagrada Família","02","Eixample","08013","019","BARCELONA","41.40729","2.179329","431406.61","4584296.691","431498.551","4584497.647","934350566","Tel.","","01/01","31/12","0000011","07:00:00","23:59:00"," ",
"75990492186","Centre Esportiu Municipal Sagrada Família","#","C","Cartagena","231","239","06","la Sagrada Família","02","Eixample","08013","019","BARCELONA","41.40729","2.179329","431406.61","4584296.691","431498.551","4584497.647","934350566","Tel.","","01/01","31/12","1111101","08:00:00","20:30:00"," ",
"75990492186","Centre Esportiu Municipal Sagrada Família","#","C","Cartagena","231","239","06","la Sagrada Família","02","Eixample","08013","019","BARCELONA","41.40729","2.179329","431406.61","4584296.691","431498.551","4584497.647","934350566","Tel.","","01/01","31/12","1111110","08:30:00","15:30:00"," ",
"75990492186","Centre Esportiu Municipal Sagrada Família","#","C","Cartagena","231","239","06","la Sagrada Família","02","Eixample","08013","019","BARCELONA","41.40729","2.179329","431406.61","4584296.691","431498.551","4584497.647","934367455","Fax","","01/01","31/12","0000011","07:00:00","23:59:00"," ",
