"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS",
"68125439","Instituto Oftalmológico Tres Torres","#","Via","Augusta","281","285","24","les Tres Torres","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.397669","2.129943","427268.09","4583268.854","427359.993","4583469.799","932009879","Tel.","","","","","","","",
"68125439","Instituto Oftalmológico Tres Torres","#","Via","Augusta","281","285","24","les Tres Torres","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.397669","2.129943","427268.09","4583268.854","427359.993","4583469.799","900842848","Informació","","","","","","","",
"179151955","Hospital de dia - Numància","#","C","Numància","9","13","18","Sants","03","Sants-Montjuïc","08029","019","BARCELONA","41.381424","2.141052","428178.827","4581456.048","428270.739","4581656.976","933249600","Centraleta","","01/01","31/12","0000011","09:00:00","18:00:00"," ",
"179151955","Hospital de dia - Numància","#","C","Numància","9","13","18","Sants","03","Sants-Montjuïc","08029","019","BARCELONA","41.381424","2.141052","428178.827","4581456.048","428270.739","4581656.976","933249603","Fax","","01/01","31/12","0000011","09:00:00","18:00:00"," ",
"334115716","Centre d'Atenció Primària Roquetes","#","C","Garigliano","23","27","50","les Roquetes","08","Nou Barris","08042","019","BARCELONA","41.446174","2.173934","430996.884","4588617.76","431088.82","4588818.755","933594470","Fax","","01/01","31/12","0000011","08:00:00","20:00:00","Fora d'aquest horari truqueu al 061<br>o CUAP Horta o CUAP Cotxeres.",
"334115716","Centre d'Atenció Primària Roquetes","#","C","Garigliano","23","27","50","les Roquetes","08","Nou Barris","08042","019","BARCELONA","41.446174","2.173934","430996.884","4588617.76","431088.82","4588818.755","933594470","Fax","","01/01","31/12","1111101","09:00:00","14:00:00"," ",
"334115716","Centre d'Atenció Primària Roquetes","#","C","Garigliano","23","27","50","les Roquetes","08","Nou Barris","08042","019","BARCELONA","41.446174","2.173934","430996.884","4588617.76","431088.82","4588818.755","933268901","Tel.","Programació de visites","01/01","31/12","0000011","08:00:00","20:00:00","Fora d'aquest horari truqueu al 061<br>o CUAP Horta o CUAP Cotxeres.",
"334115716","Centre d'Atenció Primària Roquetes","#","C","Garigliano","23","27","50","les Roquetes","08","Nou Barris","08042","019","BARCELONA","41.446174","2.173934","430996.884","4588617.76","431088.82","4588818.755","933268901","Tel.","Programació de visites","01/01","31/12","1111101","09:00:00","14:00:00"," ",
"334115716","Centre d'Atenció Primària Roquetes","#","C","Garigliano","23","27","50","les Roquetes","08","Nou Barris","08042","019","BARCELONA","41.446174","2.173934","430996.884","4588617.76","431088.82","4588818.755","932768068","Centraleta","","01/01","31/12","0000011","08:00:00","20:00:00","Fora d'aquest horari truqueu al 061<br>o CUAP Horta o CUAP Cotxeres.",
"334115716","Centre d'Atenció Primària Roquetes","#","C","Garigliano","23","27","50","les Roquetes","08","Nou Barris","08042","019","BARCELONA","41.446174","2.173934","430996.884","4588617.76","431088.82","4588818.755","932768068","Centraleta","","01/01","31/12","1111101","09:00:00","14:00:00"," ",
"349141404","Centre d'Atenció Primària Gòtic","#","Ptge","Pau","1","1","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.378814","2.177034","431184.791","4581137.116","431276.731","4581338.042","933436140","Centraleta","","01/01","31/12","0000011","08:00:00","20:00:00","Dissabtes de 9 a 17 h,atenció<br> al CAP Casc Antic.<br>Fora d'aquest horari truqueu al 061<br>o CUAP Manso, Centre Perecamps<br>i  i Hospital del Mar.",
"349141404","Centre d'Atenció Primària Gòtic","#","Ptge","Pau","1","1","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.378814","2.177034","431184.791","4581137.116","431276.731","4581338.042","934120308","Fax","","01/01","31/12","0000011","08:00:00","20:00:00","Dissabtes de 9 a 17 h,atenció<br> al CAP Casc Antic.<br>Fora d'aquest horari truqueu al 061<br>o CUAP Manso, Centre Perecamps<br>i  i Hospital del Mar.",
"349141404","Centre d'Atenció Primària Gòtic","#","Ptge","Pau","1","1","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.378814","2.177034","431184.791","4581137.116","431276.731","4581338.042","933268901","Tel.","Programació de visites","01/01","31/12","0000011","08:00:00","20:00:00","Dissabtes de 9 a 17 h,atenció<br> al CAP Casc Antic.<br>Fora d'aquest horari truqueu al 061<br>o CUAP Manso, Centre Perecamps<br>i  i Hospital del Mar.",
"1015170605","Centre d'Atenció Primària Sardenya","#","C","Sardenya","466","466","33","el Baix Guinardó","07","Horta-Guinardó","08025","019","BARCELONA","41.409468","2.165567","430258.706","4584549.468","430350.636","4584750.426","935674381","Fax","","01/01","31/12","0000011","08:00:00","20:00:00"," ",
"1015170605","Centre d'Atenció Primària Sardenya","#","C","Sardenya","466","466","33","el Baix Guinardó","07","Horta-Guinardó","08025","019","BARCELONA","41.409468","2.165567","430258.706","4584549.468","430350.636","4584750.426","935674381","Fax","","01/01","31/12","1111101","09:00:00","14:00:00"," ",
