"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL",
"62172326","Museu d'Història de Catalunya","Auditori","Pl","Pau Vila","1","1","03","la Barceloneta","01","Ciutat Vella","08039","019","BARCELONA","41.380838","2.185882","431926.727","4581354.829","432018.673","4581555.758","932254758","Fax","","","","","","","","Auditoris","Cinemes, teatres, auditoris","Cultura i lleure",
"62172326","Museu d'Història de Catalunya","Auditori","Pl","Pau Vila","1","1","03","la Barceloneta","01","Ciutat Vella","08039","019","BARCELONA","41.380838","2.185882","431926.727","4581354.829","432018.673","4581555.758","932254758","Fax","","","","","","","","","Auditoris i sales de concert","Planol",
"62172326","Museu d'Història de Catalunya","Auditori","Pl","Pau Vila","1","1","03","la Barceloneta","01","Ciutat Vella","08039","019","BARCELONA","41.380838","2.185882","431926.727","4581354.829","432018.673","4581555.758","932254700","Tel.","","","","","","","","","Auditoris i sales de concert","Planol",
"62172326","Museu d'Història de Catalunya","Auditori","Pl","Pau Vila","1","1","03","la Barceloneta","01","Ciutat Vella","08039","019","BARCELONA","41.380838","2.185882","431926.727","4581354.829","432018.673","4581555.758","932254700","Tel.","","","","","","","","Auditoris","Cinemes, teatres, auditoris","Cultura i lleure",
"81155758","Fundació Parc Científic de Barcelona","Auditori","C","Baldiri Reixac","4","6","20","la Maternitat i Sant Ramon","04","Les Corts","08028","019","BARCELONA","41.381869","2.116467","426123.653","4581526.141","426215.546","4581727.069","934037171","Tel.","","","","","","","","Auditoris","Cinemes, teatres, auditoris","Cultura i lleure",
"81155758","Fundació Parc Científic de Barcelona","Auditori","C","Baldiri Reixac","4","6","20","la Maternitat i Sant Ramon","04","Les Corts","08028","019","BARCELONA","41.381869","2.116467","426123.653","4581526.141","426215.546","4581727.069","934037171","Tel.","","","","","","","","","Auditoris i sales de concert","Planol",
"271101523","Centre de Cultura Contemporània de Barcelona","Auditori","C","Montalegre","5","5","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.383914","2.166821","430336.21","4581711.455","430428.142","4581912.386","933064100","Tel.","","","","","","","","Auditoris","Cinemes, teatres, auditoris","Cultura i lleure",
"271101523","Centre de Cultura Contemporània de Barcelona","Auditori","C","Montalegre","5","5","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.383914","2.166821","430336.21","4581711.455","430428.142","4581912.386","933064101","Fax","","","","","","","","","Auditoris i sales de concert","Planol",
"271101523","Centre de Cultura Contemporània de Barcelona","Auditori","C","Montalegre","5","5","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.383914","2.166821","430336.21","4581711.455","430428.142","4581912.386","933064101","Fax","","","","","","","","Auditoris","Cinemes, teatres, auditoris","Cultura i lleure",
"271101523","Centre de Cultura Contemporània de Barcelona","Auditori","C","Montalegre","5","5","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.383914","2.166821","430336.21","4581711.455","430428.142","4581912.386","933064100","Tel.","","","","","","","","","Auditoris i sales de concert","Planol",
"299170336","Institut del Teatre","Teatre Estudi","Pl","Margarida Xirgu","1","1","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.370679","2.157457","429539.01","4580249.69","429630.935","4580450.608","932273900","Tel.","","","","","","","","Teatres","Teatres","Cultura i lleure",
"299170336","Institut del Teatre","Teatre Estudi","Pl","Margarida Xirgu","1","1","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.370679","2.157457","429539.01","4580249.69","429630.935","4580450.608","932273939","Fax","","","","","","","","Teatres","Teatres","Cultura i lleure",
"299170336","Institut del Teatre","Teatre Estudi","Pl","Margarida Xirgu","1","1","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.370679","2.157457","429539.01","4580249.69","429630.935","4580450.608","932273939","Fax","","","","","","","","Teatres","Cinemes, teatres, auditoris","Cultura i lleure",
"299170336","Institut del Teatre","Teatre Estudi","Pl","Margarida Xirgu","1","1","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.370679","2.157457","429539.01","4580249.69","429630.935","4580450.608","932273900","Tel.","","","","","","","","Teatres","Cinemes, teatres, auditoris","Cultura i lleure",
"299170435","Institut del Teatre","Auditori","Pl","Margarida Xirgu","1","1","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.370679","2.157457","429539.01","4580249.69","429630.935","4580450.608","932273900","Tel.","","","","","","","","","Auditoris i sales de concert","Planol",
"299170435","Institut del Teatre","Auditori","Pl","Margarida Xirgu","1","1","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.370679","2.157457","429539.01","4580249.69","429630.935","4580450.608","932273939","Fax","","","","","","","","","Auditoris i sales de concert","Planol",
"299170435","Institut del Teatre","Auditori","Pl","Margarida Xirgu","1","1","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.370679","2.157457","429539.01","4580249.69","429630.935","4580450.608","932273939","Fax","","","","","","","","Auditoris","Cinemes, teatres, auditoris","Cultura i lleure",
"299170435","Institut del Teatre","Auditori","Pl","Margarida Xirgu","1","1","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.370679","2.157457","429539.01","4580249.69","429630.935","4580450.608","932273900","Tel.","","","","","","","","Auditoris","Cinemes, teatres, auditoris","Cultura i lleure",
"1281145134","Institució Cultural del C.I.C.","Teatre","Via","Augusta","205","205","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08021","019","BARCELONA","41.397697","2.138903","428017.156","4583264.421","428109.066","4583465.366","932090575","Fax","","","","","","","","Teatres","Teatres","Cultura i lleure",
"1281145134","Institució Cultural del C.I.C.","Teatre","Via","Augusta","205","205","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08021","019","BARCELONA","41.397697","2.138903","428017.156","4583264.421","428109.066","4583465.366","932001133","Tel.","","","","","","","","Teatres","Cinemes, teatres, auditoris","Cultura i lleure",
"1281145134","Institució Cultural del C.I.C.","Teatre","Via","Augusta","205","205","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08021","019","BARCELONA","41.397697","2.138903","428017.156","4583264.421","428109.066","4583465.366","932090575","Fax","","","","","","","","Teatres","Cinemes, teatres, auditoris","Cultura i lleure",
"1281145134","Institució Cultural del C.I.C.","Teatre","Via","Augusta","205","205","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08021","019","BARCELONA","41.397697","2.138903","428017.156","4583264.421","428109.066","4583465.366","932001133","Tel.","","","","","","","","Teatres","Teatres","Cultura i lleure",
"1331135946","Teatre Lliure","Sala Fabià Puigserver","Pl","Margarida Xirgu","1","1","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.370679","2.157457","429539.01","4580249.69","429630.935","4580450.608","934243453","Fax","","","","","","","","Teatres","Cinemes, teatres, auditoris","Cultura i lleure",
"1331135946","Teatre Lliure","Sala Fabià Puigserver","Pg","Santa Madrona","40","46","11","el Poble-sec","03","Sants-Montjuïc","08038","019","BARCELONA","41.370538","2.15728","429524.018","4580234.161","429615.943","4580435.078","932892770","Tel.","","","","","","","","Teatres","Cinemes, teatres, auditoris","Cultura i lleure",
"1331135946","Teatre Lliure","Sala Fabià Puigserver","Pl","Margarida Xirgu","1","1","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.370679","2.157457","429539.01","4580249.69","429630.935","4580450.608","932892770","Tel.","","","","","","","","Teatres","Cinemes, teatres, auditoris","Cultura i lleure",
"1331135946","Teatre Lliure","Sala Fabià Puigserver","Pg","Santa Madrona","40","46","11","el Poble-sec","03","Sants-Montjuïc","08038","019","BARCELONA","41.370538","2.15728","429524.018","4580234.161","429615.943","4580435.078","934243453","Fax","","","","","","","","Teatres","Cinemes, teatres, auditoris","Cultura i lleure",
"1331135946","Teatre Lliure","Sala Fabià Puigserver","Pl","Margarida Xirgu","1","1","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.370679","2.157457","429539.01","4580249.69","429630.935","4580450.608","932892770","Tel.","","","","","","","","Teatres","Teatres","Cultura i lleure",
"1331135946","Teatre Lliure","Sala Fabià Puigserver","Pl","Margarida Xirgu","1","1","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.370679","2.157457","429539.01","4580249.69","429630.935","4580450.608","934243453","Fax","","","","","","","","Teatres","Teatres","Cultura i lleure",
"1331135946","Teatre Lliure","Sala Fabià Puigserver","Pg","Santa Madrona","40","46","11","el Poble-sec","03","Sants-Montjuïc","08038","019","BARCELONA","41.370538","2.15728","429524.018","4580234.161","429615.943","4580435.078","932892770","Tel.","","","","","","","","Teatres","Teatres","Cultura i lleure",
"1331135946","Teatre Lliure","Sala Fabià Puigserver","Pg","Santa Madrona","40","46","11","el Poble-sec","03","Sants-Montjuïc","08038","019","BARCELONA","41.370538","2.15728","429524.018","4580234.161","429615.943","4580435.078","934243453","Fax","","","","","","","","Teatres","Teatres","Cultura i lleure",
"1331141308","Teatre Lliure","Sala Espai Lliure","Pl","Margarida Xirgu","1","1","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.370679","2.157457","429539.01","4580249.69","429630.935","4580450.608","934243453","Fax","","","","","","","","Teatres","Cinemes, teatres, auditoris","Cultura i lleure",
"1331141308","Teatre Lliure","Sala Espai Lliure","Pl","Margarida Xirgu","1","1","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.370679","2.157457","429539.01","4580249.69","429630.935","4580450.608","934243453","Fax","","","","","","","","Teatres","Teatres","Cultura i lleure",
"1331141308","Teatre Lliure","Sala Espai Lliure","Pl","Margarida Xirgu","1","1","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.370679","2.157457","429539.01","4580249.69","429630.935","4580450.608","932892770","Tel.","","","","","","","","Teatres","Cinemes, teatres, auditoris","Cultura i lleure",
"1331141308","Teatre Lliure","Sala Espai Lliure","Pl","Margarida Xirgu","1","1","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.370679","2.157457","429539.01","4580249.69","429630.935","4580450.608","932892770","Tel.","","","","","","","","Teatres","Teatres","Cultura i lleure",
"2071125357","MUHBA Museu d'Història de Barcelona - Plaça del Rei","Saló del Tinell","Pl","Rei","9","9","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.384295","2.177268","431210.134","4581745.405","431302.074","4581946.337","93 315 0957","Fax","","","","","","","","Auditoris","Cinemes, teatres, auditoris","Cultura i lleure",
"2071125357","MUHBA Museu d'Història de Barcelona - Plaça del Rei","Saló del Tinell","Pl","Rei","9","9","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.384295","2.177268","431210.134","4581745.405","431302.074","4581946.337","932562100","Centraleta","","","","","","","","Auditoris","Cinemes, teatres, auditoris","Cultura i lleure",
"2071125357","MUHBA Museu d'Història de Barcelona - Plaça del Rei","Saló del Tinell","Pl","Rei","9","9","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.384295","2.177268","431210.134","4581745.405","431302.074","4581946.337","932562100","Centraleta","","","","","","","","","Auditoris i sales de concert","Planol",
"2071125357","MUHBA Museu d'Història de Barcelona - Plaça del Rei","Saló del Tinell","Pl","Rei","9","9","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.384295","2.177268","431210.134","4581745.405","431302.074","4581946.337","93 315 0957","Fax","","","","","","","","","Auditoris i sales de concert","Planol",
"2086161222","Cinemes Renoir *Floridablanca","#","C","Floridablanca","135","135","10","Sant Antoni","02","Eixample","08011","019","BARCELONA","41.381711","2.162582","429979.412","4581470.26","430071.34","4581671.189","932289393","Tel.","","","","","","","","Cinemes","Cinemes, teatres, auditoris","Cultura i lleure",
"2086161222","Cinemes Renoir *Floridablanca","#","C","Floridablanca","135","135","10","Sant Antoni","02","Eixample","08011","019","BARCELONA","41.381711","2.162582","429979.412","4581470.26","430071.34","4581671.189","934263337","Audiotex","permanent","","","","","","","Cinemes circuit comercial","Cinemes","Cultura i lleure",
"2086161222","Cinemes Renoir *Floridablanca","#","C","Floridablanca","135","135","10","Sant Antoni","02","Eixample","08011","019","BARCELONA","41.381711","2.162582","429979.412","4581470.26","430071.34","4581671.189","934263337","Fax","","","","","","","","Cinemes circuit comercial","Cinemes","Cultura i lleure",
"2086161222","Cinemes Renoir *Floridablanca","#","C","Floridablanca","135","135","10","Sant Antoni","02","Eixample","08011","019","BARCELONA","41.381711","2.162582","429979.412","4581470.26","430071.34","4581671.189","932289393","Tel.","","","","","","","","Cinemes circuit comercial","Cinemes","Cultura i lleure",
